2015/2016,C.R.A. RIBAGORZA ORIENTAL,Benabarre,22053,Benabarre,8,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIBAGORZA ORIENTAL,Montanuy,22157,Montanuy,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIBERA DEL CINCA,Miralsot,22112,Fraga,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIBERA DEL CINCA,Torrente de Cinca,22234,Torrente de Cinca,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIBERA DEL CINCA,Velilla de Cinca,22245,Velilla de Cinca,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO ARAGON,Ansó,22028,Ansó,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO ARAGON,Berdún,22076,Canal de Berdún,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO ARAGON,Jasa,22131,Jasa,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO ARAGON,Salvatierra de Esca,50232,Salvatierra de Esca,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO ARAGON,Santa Cilia,22208,Santa Cilia,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO ARAGON,Santa Engracia de Jaca,22902,Puente la Reina de Jaca,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO RIBOTA,Aniñón,50029,Aniñón,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO RIBOTA,Cervera de la Cañada,50079,Cervera de la Cañada,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. RIO RIBOTA,Villarroya de la Sierra,50293,Villarroya de la Sierra,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. SIERRA DE ALBARRACIN 1,Frías de Albarracín,44109,Frías de Albarracín,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. SIERRA DE ALBARRACIN 1,Griegos,44119,Griegos,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. SIERRA DE ALBARRACIN 1,Guadalaviar,44120,Guadalaviar,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. SIERRA DE ALBARRACIN 1,Torres de Albarracín,44229,Torres de Albarracín,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. SIERRA DE ALBARRACIN 1,Tramacastilla,44235,Tramacastilla,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TERUEL UNO,Alfambra,44016,Alfambra,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TERUEL UNO,Argente,44028,Argente,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TERUEL UNO,Camañas,44053,Camañas,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TERUEL UNO,Galve,44115,Galve,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TERUEL UNO,Perales del Alfambra,44182,Perales del Alfambra,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TERUEL UNO,Visiedo,44266,Visiedo,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TRES RIBERAS,Maluenda,50159,Maluenda,7,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TRES RIBERAS,Mara,50162,Mara,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TRES RIBERAS,Miedes de Aragón,50169,Miedes de Aragón,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TRES RIBERAS,Paracuellos de Jiloca,50201,Paracuellos de Jiloca,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TRES RIBERAS,Villafeliche,50284,Villafeliche,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,Caudé,44216,Teruel,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,Celadas,44075,Celadas,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,San Blas,44216,Teruel,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,Villalba Baja,44216,Teruel,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,Villaspesa,44216,Teruel,7,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,Villastar,44263,Villastar,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. TURIA,Villel,44264,Villel,3,AM06101013,3 años,3 años,E. Infantil
